Unnamed: 0,JSN,DATE,TIME,Lab#,File Name,FB02A005R_D,FB02A304R_D,FB02A308R_D,FB02A376R_D,GB01A005R_D,GB01A304R_D,GB01A308R_D,GB01A376R_D,FB02A006_D,FB02A305_D,FB02A309_D,FB02A377_D,GB01A006_D,GB01A305_D,GB01A309_D,GB01A377_D,FB05A430R_D,FB05M069R_D,GB04A430R_D,GB04M069R_D,FB05A430_D,FB05M069_D,GB04A430_D,GB04M069_D,FB11A011R_D,FB11A510R_D,GB10A011R_D,GB10A510R_D,FB08A003R_D,FB08A004R_D,FB08A005R_D,GB07A003R_D,GB07A004R_D,GB07A005R_D,FB013A002_D,FB13A002R_D,FB13A702R_D,GB12A002R_D,GB12A702R_D,FB13A030R_D,FB13A532R_D,FB13A830R_D,GB12A030R_D,GB12A532R_D,GB12A830R_D,FB18A550R_D,FB29A010R_D,FB29A544R_D,GB17A550R_D,GB28A010R_D,GB28A544R_D,FB18A070R_D,FB18A552R_D,GB17A552R_D,GB17A070R_D,FB11A011_D,FB11A510_D,GB10A011_D,GB10A510_D,FB08A003_D,FB08A004_D,FB08A005_D,GB07A003_D,GB07A004_D,GB07A005_D,FB013A001_D,FB13A001_D,FB13A701_D,GB12A001_D,GB12A701_D,FB13A030_D,FB13A532_D,FB13A830_D,GB12A030_D,GB12A532_D,GB12A830_D,FB18A550_D,FB29A010_D,FB29A544_D,GB17A550_D,GB28A010_D,GB28A544_D,FB18A070_D,FB18A552_D,GB17A552_D,GB17A070_D,FB33A033_D,FB33A037R_D,FB33A001_D,GB32A033_D,GB32A0037R_D,GB32A001_D,FB23A796R_D,FB23A797_D,GB22A796R_D,GB22A797_D,H8029M003Y_Y,H8029M029Y_Y,H8029M003Z_Z,H8029M029Z_Z
47,97051106,11/3/2025,8:46:12,,,-0.39,0.33,-0.8,-1.54,4.65,4.08,5.26,4.92,-1.41,-1.83,-0.91,-1.6,4.05,3.51,3.66,5.89, , , , , , , , ,-2.33,-1.61,0.29,3.47,1.06,1.88,0.5,4.94,7.08,4.73,3.1,-0.79, ,4.9, ,0.98,0.93, ,4.59,4.32, , , ,-3.2, , ,1.69, ,-0.09,4.09, ,-1.9,-1.2,1.66,4.19,0.73,1.8,0.44,4.64,4.68,3.76,2.74,-0.56, ,6.45, ,2.34,-0.6, ,4.53,3.21, , , ,-0.24, , ,1.29,1.41,1.53,3.58,4.61,-11.83,-11.35,-11.04,14.49,14.85,15.42,3.8,1.23,4.54,4.36,,,,
49,97054910,11/3/2025,8:48:56,,,-1.19,-0.07,-1.02,-1.72,4.61,4.5,5.03,4.76,-2.67,-1.46,-0.62,-0.74,4.55,3.34,3.46,4.88, , , , , , , , ,-2.36,-1.77,0.21,3.18,1.02,1.84,0.33,4.21,7.1,4.91,2.68,-1.6, ,5.86, ,0.7,1.16, ,5.51,4.93, , , ,-3.1, , ,2.07, ,-0.2,3.62, ,-2.76,-0.66,3.51,3.95,0.99,1.42,1.16,4.17,4.5,3.73,1.8,-1.22, ,6.59, ,1.53,-1.13, ,4.52,3.19, , , ,-2.11, , ,2.25,0.72,0.52,3.42,3.78,-11.08,-10.74,-10.54,15.07,15.19,15.54,3.84,1.49,4.76,4.68,,,,
51,97054894,11/3/2025,8:50:42,,,-0.79,-1.14,-1.93,-2.83,4.56,4.96,5.56,5.58,-0.7,-0.4,-0.26,0.53,3.66,2.71,3.03,4.35, , , , , , , , ,-1.42,-1.59,-0.21,3.29,0.88,1.65,0.78,5.32,6.98,4.88,3.71,-0.32, ,6.36, ,1.25,0.54, ,5.2,3.99, , , ,-4.66, , ,2.39, ,-1.2,3.6, ,0.3,-1.02,1.4,2.87,0.64,1.7,0.39,4.64,4.8,3.85,4.23,0.54, ,6.92, ,2.7,-0.89, ,4.53,2.41, , , ,-0.44, , ,1.71,1.3,1.5,3.87,4.67,-11.88,-10.67,-10.62,14.09,15.23,15.12,3.85,1.87,5.2,3.99,,,,
55,97054852,11/3/2025,8:54:07,,,-1.48,-0.47,-1.51,-1.73,4.19,4.16,4.87,4.78,-1.2,-0.97,-0.51,-0.34,3.94,2.63,2.94,4.81, , , , , , , , ,-3.2,-1.52,0.99,3.95,0.4,1.87,0.35,4.68,7.03,5.47,2.01,-1.94, ,6.57, ,0.56,1.66, ,5.04,4.66, , , ,-3.54, , ,2.41, ,-1.03,3.2, ,-2.05,-1.33,3.09,3.28,0.55,1.42,0.57,4.74,4.85,3.68,2.61,-0.92, ,6.67, ,1.69,-1.13, ,4.62,3.98, , , ,-0.79, , ,1.53,1.03,1.16,3.37,3.96,-11.27,-11.02,-10.58,14.29,14.83,15.28,4.04,1.44,4.27,4.43,,,,
56,97054928,11/3/2025,8:55:11,,,-0.49,-0.03,-1.57,-1.27,5.74,5.68,6.22,5.58,-0.81,-0.98,-0.55,-0.07,3.38,2.45,2.62,4.99, , , , , , , , ,-0.91,-1.47,-0.02,3.38,0.81,1.57,0.77,3.95,5.81,4.27,3.45,0.29, ,5.81, ,1.21,0.92, ,4.7,3.68, , , ,-4.95, , ,2.45, ,-1.37,4.22, ,-2.62,-1.25,2.39,3.49,0.51,1.8,0.52,4.3,4.68,3.87,1.88,-3.4, ,5.11, ,1.23,0.33, ,4.28,3.56, , , ,0.41, , ,1.92,1.36,2.21,3.91,4.86,-11.19,-11.09,-10.67,14.13,14.95,15.25,4.01,1.48,4.6,3.59,,,,
58,97054902,11/3/2025,8:56:54,,,-0.81,-0.33,-1.12,-1.72,4.62,4.73,4.9,5.35,-0.34,-1.22,-0.43,-0.54,3.29,3.06,2.91,4.92, , , , , , , , ,-1.91,-1.62,-0.04,3.5,0.6,1.82,0.39,4.95,6.34,4.6,3.22,-0.73, ,5.09, ,0.96,0.72, ,4.52,4.62, , , ,-4.19, , ,1.39, ,-0.63,3.82, ,-0.92,-0.8,2.23,3.33,0.14,1.59,0.26,4.76,5.04,4.18,2.66,-1.39, ,7.25, ,1.59,-1.06, ,4.37,1.8, , , ,0.11, , ,2.4,0.81,1.4,3.68,4.3,-11.15,-10.97,-10.51,14.28,14.78,15.15,4.14,1.47,4.76,3.97,,,,
60,97054860,11/3/2025,8:58:40,,,-0.98,-0.19,-1.94,-1.33,5.29,5.68,6.22,5.58,-1.19,-0.97,-0.3,-0.66,4.08,2.78,3.04,5.26, , , , , , , , ,-2.21,-0.95,1.08,3.8,0.57,1.29,1.1,3.96,6.43,5.06,1.82,-1.45, ,5.26, ,0.68,1.45, ,4.5,4.55, , , ,-5.12, , ,2.21, ,-0.8,3.64, ,-1.86,-1.02,2.12,3.56,0.65,1.36,0.8,4.69,4.78,3.78,1.62,-1.57, ,4.78, ,1.44,-0.39, ,4.19,3.96, , , ,0.09, , ,2.01,1.2,1.72,3.73,4.35,-11.89,-10.52,-10.7,14.06,14.79,14.79,3.61,2.22,4.17,4.79,,,,
61,97054837,11/3/2025,9:00:22,,,-0.8,-0.16,-1.14,-1.63,5.58,5.04,5.24,5.56,-0.97,-1.07,-1.04,-0.73,3.56,2.85,2.93,5.43, , , , , , , , ,-0.25,-1.26,-1.62,3.18,0.87,1.45,1.08,4.22,5.67,3.65,4.24,0.33, ,6.82, ,1.24,0.05, ,5.45,3.66, , , ,-4.08, , ,2.62, ,-0.73,3.81, ,-1.54,-0.6,3.05,3.4,0.84,1.28,0.98,5.52,5.17,4.3,2.3,-0.73, ,5.16, ,1.74,-0.98, ,3.98,3.47, , , ,-0.04, , ,1.48,1.01,1.52,3.7,4.61,-11.25,-10.78,-10.36,14.16,15.46,15.37,3.56,1.07,4.46,3.91,,,,
64,97078273,11/3/2025,9:16:38,,,-0.82,-0.54,-1.06,-2.15,4.6,4.4,4.98,5.14,-1.46,-1.39,-0.76,-0.67,3.93,2.78,3.14,4.6, , , , , , , , ,-1.35,-1.67,-0.12,3.34,1.14,1.48,0.21,5.14,7.33,4.92,3.32,-0.78, ,5.18, ,0.87,0.94, ,4.87,4.04, , , ,-3.57, , ,2.14, ,-0.57,4.04, ,-2.05,-0.89,1.98,3.78,0.73,1.53,0.4,4.93,5.06,4.27,2.43,-2.58, ,5.68, ,1.59,0.13, ,4.33,2.88, , , ,0.34, , ,1.35,1.61,2.68,3.67,4.56,-11.19,-11.03,-10.71,14.15,14.77,15.23,3.65,1.54,4.56,4.23,,,,
65,97078265,11/3/2025,9:17:29,,,-0.8,-0.6,-1.54,-2.17,5.32,5.0,5.66,5.38,-0.41, ,-0.78,0.27,3.34, ,3.26,5.01, , , , , , , , ,-2.42,-1.65,0.14,3.62,1.08,1.85,0.46,4.66,7.11,4.96,3.0,-2.06, ,4.25, ,0.66,1.73, ,4.82,4.56, , , ,-5.12, , ,1.89, ,-0.62,3.61, ,-2.41,-1.09,2.75,3.83,0.15,1.54,-0.02,4.25,4.88,4.57,2.69,-1.3, ,6.62, ,1.5,-1.33, ,4.54,2.68, , , ,-1.12, , ,2.27,0.91,1.16,3.87,4.29,-11.36,-10.46,-10.25,14.24,15.17,15.19,3.2,1.37,4.21,4.32,,,,
