,,,,,FB02A005R_D,FB02A304R_D,FB02A308R_D,FB02A376R_D,GB01A005R_D,GB01A304R_D,GB01A308R_D,GB01A376R_D,FB02A006_D,FB02A305_D,FB02A309_D,FB02A377_D,GB01A006_D,GB01A305_D,GB01A309_D,GB01A377_D,FB05A430R_D,FB05M069R_D,GB04A430R_D,GB04M069R_D,FB05A430_D,FB05M069_D,GB04A430_D,GB04M069_D,FB11A011R_D,FB11A510R_D,GB10A011R_D,GB10A510R_D,FB08A003R_D,FB08A004R_D,FB08A005R_D,GB07A003R_D,GB07A004R_D,GB07A005R_D,FB013A002_D,FB13A002R_D,FB13A702R_D,GB12A002R_D,GB12A702R_D,FB13A030R_D,FB13A532R_D,FB13A830R_D,GB12A030R_D,GB12A532R_D,GB12A830R_D,FB18A550R_D,FB29A010R_D,FB29A544R_D,GB17A550R_D,GB28A010R_D,GB28A544R_D,FB18A070R_D,FB18A552R_D,GB17A552R_D,GB17A070R_D,FB11A011_D,FB11A510_D,GB10A011_D,GB10A510_D,FB08A003_D,FB08A004_D,FB08A005_D,GB07A003_D,GB07A004_D,GB07A005_D,FB013A001_D,FB13A001_D,FB13A701_D,GB12A001_D,GB12A701_D,FB13A030_D,FB13A532_D,FB13A830_D,GB12A030_D,GB12A532_D,GB12A830_D,FB18A550_D,FB29A010_D,FB29A544_D,GB17A550_D,GB28A010_D,GB28A544_D,FB18A070_D,FB18A552_D,GB17A552_D,GB17A070_D,FB33A033_D,FB33A037R_D,FB33A001_D,GB32A033_D,GB32A0037R_D,GB32A001_D,FB23A796R_D,FB23A797_D,GB22A796R_D,GB22A797_D,H8029M003Y_Y,H8029M029Y_Y,H8029M003Z_Z,H8029M029Z_Z
COL_ID,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
XPOS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4044.07,4044.07,4044.07,4044.07
YPOS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-659.53,659.53,-659.53,659.53
ZPOS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,744,744,744
NOMS,,,,,0,-1,-1,-1.5,4.5,3.5,3.5,3.5,0,-1,-1,-1.5,4.5,3.5,3.5,3.5,0.5,0.5,2,2,0.5,0.5,2,2,-1.5,-1.6,1.9,3.2,1,1,1,4.7,4.5,3.5,2,0.8,1.9,4.45,4.4,1.9,-0.1,0.9,4.4,3.4,3.9,-1.4,-2.4,-2.8,4,3.6,2.5,0.5,0.2,4,4.7,-1.5,-1.6,1.9,3.2,1,1,1,4.7,4,3.5,2,0.8,1.9,4.45,4.4,1.9,-0.1,0.9,4.4,3.4,3.9,-1.4,-2.4,-2.8,4,3.6,2.5,0.5,0.2,3.8,4.7,-10.9,-10.9,-10.9,14.6,14.6,14.6,1,1,4,4,-659.53,659.53,744,744
LSL,,,,,-1.5,-2.5,-2.5,-3,3,2,2,2,-1.5,-2.5,-2.5,-3,3,2,2,2,0.5,0.5,2,2,0.5,0.5,2,2,-3,-3.1,0.4,1.7,-0.25,-0.25,-0.25,3.45,3.25,2.25,1,-0.45,1.9,2.95,4.4,0.65,-1.35,0.9,3.15,2.4,3.9,-1.4,-2.4,-4.3,4,3.6,1,0.5,-1.3,2.75,4.7,-3,-3.1,0.4,1.7,-0.25,-0.25,-0.25,3.45,2.75,2.25,1,-0.45,1.9,2.95,4.4,0.65,-1.35,0.9,3.4,2.4,3.9,-1.4,-2.4,-4.3,4,3.6,1,-1,-1.05,2.55,3.2,-11.9,-11.9,-11.9,13.6,13.6,13.6,-0.5,-0.5,2.5,2.5,-660.53,658.53,743,743
USL,,,,,1.5,0.5,0.5,0,6,5,5,5,1.5,0.5,0.5,0,6,5,5,5,0.5,0.5,2,2,0.5,0.5,2,2,0,-0.1,3.4,4.7,2.25,2.25,2.25,5.95,5.75,4.75,3,2.05,1.9,5.95,4.4,3.15,1.15,0.9,5.65,4.4,3.9,-1.4,-2.4,-1.3,4,3.6,4,0.5,1.7,5.25,4.7,0,-0.1,3.4,4.7,2.25,2.25,2.25,5.95,5.25,4.75,3,2.05,1.9,5.95,4.4,3.15,1.15,0.9,5.4,4.4,3.9,-1.4,-2.4,-1.3,4,3.6,4,2,1.45,5.05,6.2,-9.9,-9.9,-9.9,15.6,15.6,15.6,2.5,2.5,5.5,5.5,-658.53,660.53,745,745
VECTOR_I,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VECTOR_J,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
