,,,,,H9942M006_X,H9942M007_X,H9942M006_Y,H9942M006_Z,H9942M007_Y,H9942M007_Z,H9943M005_X,H9943M006_X,H9943M005_Y,H9943M005_Z,H9943M006_Y,H9943M006_Z,H1292M001_X,M9144M001_Y,M9144M001_Z,H1292M001_Y,H1292M001_Z,H1752M001_X,H5444DD01_X,H9384M001_X,H9384M001_Y,H9384M001_Z,H5444DD01_Y,H5444DD01_Z,H1752M001_Y,H1752M001_Z,H1293M001_X,M9141M001_Y,M9141M001_Z,H1293M001_Y,H1293M001_Z,H1753M002_X,H5445DD01_X,H9385M001_X,H5445DD01_Y,H5445DD01_Z,H9385M001_Y,H9385M001_Z,H1753M002_Y,H1753M002_Z,H6197M001_X,H6264M001_X,H9418M001_X,H6197M001_Y,H6197M001_Z,H6264M001_Y,H6264M001_Z,H9418M001_Y,H9418M001_Z,H6197M001B_X,H6265M001_X,H9419M001_X,H6265M001_Y,H6265M001_Z,H9419M001_Y,H9419M001_Z,H6197M001B_Y,H6197M001B_Z,H9392MA02_X,L9392MA01_Z,H9392MA02_Z,H3660DA01B_X,L3664M005B_X,S9392M049_Y,H3660DA01B_Y,H3660DA01B_Z,L3664M005B_Y,L3664M005B_Z,H3660DA01_X,L3664M005_X,H3660DA01_Y,H3660DA01_Z,L3664M005_Y,L3664M005_Z,H9393MA02_X,L9393MA01_Z,H9393MA02_Z,H3661DA01B_X,L3665M002_X,S9393M049_Y,H3661DA01B_Y,H3661DA01B_Z,L3665M002_Y,L3665M002_Z,H3661DA01_X,L3665M002B_X,H3661DA01_Y,H3661DA01_Z,L3665M002B_Y,L3665M002B_Z,H9451DA01_X,L9451DA02_X,H9451DA01_Y,H9451DA01_Z,L9451DA02_Z
COL_ID,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
XPOS,,,,,203.28,-79.81,203.28,203.28,-79.81,-79.81,-79.81,203.28,-79.81,-79.81,203.28,203.28,-262,-583.02,-583.02,-262,-262,-224.18,438,-230,-230,-230,438,438,-224.18,-224.18,-262,-583.02,-583.02,-262,-262,-224.18,438,-230,438,438,-230,-230,-224.18,-224.18,571.6,-94.88,240,571.6,571.6,-94.88,-94.88,240,240,571.6,-94.88,240,-94.88,-94.88,240,240,571.6,571.6,656,3835,656,691.37,687.13,615,691.37,691.37,687.13,687.13,1787.73,1763.38,1787.73,1787.73,1763.38,1763.38,656,3835,656,691.37,687.13,615,691.37,691.37,687.13,687.13,1787.71,1763.38,1787.71,1787.71,1763.38,1763.38,3675,3675,3675,3675,3675
YPOS,,,,,478.7,458.34,478.7,478.7,458.34,458.34,-458.34,-478.7,-458.34,-458.34,-478.7,-478.7,760.5,513,513,760.5,760.5,715.05,738.09,761.5,761.5,761.5,738.09,738.09,715.05,715.05,-760.5,-513,-513,-760.5,-760.5,-715.05,-738.09,-761.5,-738.09,-738.09,-761.5,-761.5,-715.05,-715.05,870,813,815,870,870,813,813,815,815,-870,-813,-815,-813,-813,-815,-815,-870,-870,842.48,812.11,842.48,864.5,879.1,827.21,864.5,864.5,879.1,879.1,877.83,890.27,877.83,877.83,890.27,890.27,-842.48,-812.11,-842.48,-864.5,-879.1,-827.21,-864.5,-864.5,-879.1,-879.1,-877.83,-890.27,-877.83,-877.83,-890.27,-890.27,-350,350,-350,-350,350
ZPOS,,,,,403.34,462.05,403.34,403.34,462.05,462.05,462.05,403.34,462.05,462.05,403.34,403.34,519,195.5,195.5,519,519,607,829,659,659,659,829,829,607,607,519,195.5,195.5,519,519,607,829,659,829,829,659,659,607,607,495,707.14,749.06,495,495,707.14,707.14,749.06,749.06,495,707.14,749.06,707.14,707.14,749.06,749.06,495,495,405,440,405,696.5,209.47,685.02,696.5,696.5,209.47,209.47,717.15,210.36,717.15,717.15,210.36,210.36,405,440,405,696.5,209.47,685.02,696.5,696.5,209.47,209.47,717.15,210.36,717.15,717.15,210.36,210.36,1323.21,1323.21,1323.21,1323.21,1323.21
NOMS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSL,,,,,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
USL,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
VECTOR_I,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VECTOR_J,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
